"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
135000,235000,0.527008607,0.109121032,0.097811034,0.018716118,252.5,0.0148,0,0.0048,0,0.0048,0,0.7497,0.0118,0.0085,0.0041,0,0.1991,0,0.0024,0
135000,245000,0.596219787,0.09013,0.10364417,0.015468676,269.2,0,0,0.0051,0,0.0015,0,0.9459,0.0278,0.0076,0.0014,0,0,0,0.0109,0
135000,255000,0.542299513,0.108672997,0.105314068,0.016645936,247.9,0,0,0,0,0,0,0.723,0.0116,0.0135,0.0186,0,0.2333,0,0,0
135000,265000,0.571822012,0.086192359,0.106380783,0.01825642,264.8,0.0045,0,0,0,0.006,0,0.8426,0.0455,0.0192,0.0069,0,0.0753,0,0,0
135000,275000,0.536581991,0.094237346,0.097341323,0.017236248,262.7,0.0222,0.0047,0,0.0046,0,0,0.7807,0.0247,0.0162,0.028,0,0.1182,0,7e-04,0
135000,285000,0.500284202,0.085943839,0.097036961,0.014240521,257.7,0.0197,0,0,0,0,0,0.6805,0.0592,0.0201,0.0222,0,0.1964,0,0.002,0
135000,295000,0.517978341,0.082886752,0.103068178,0.013525555,270,0.012,0,0,0,0,0,0.7656,0.0994,0.0147,0,0,0.1084,0,0,0
135000,305000,0.473228664,0.09247432,0.099762852,0.012352236,283,0.0015,0,0.001,0,0,0,0.4482,0.1149,0.0647,0.061,0,0.3008,0,0.0078,0
135000,315000,0.383697248,0.11737636,0.095062909,0.011747671,284.1,0,0,0,0,0,0,0.2201,0.0675,0.0255,0.1289,0,0.5511,0,0.0073,0
135000,325000,0.431631844,0.117108986,0.092342476,0.011394206,290.1,0,0,0,0,0.0095,0,0.3868,0.044,0.0688,0.0167,0,0.4741,0,0,0
135000,335000,0.537076147,0.134223423,0.099836812,0.012907606,306.7,0.0069,0,0,0,0,0,0.6766,0.0451,0.0297,0,0,0.0645,0.0131,0,0.0026
135000,35000,0.568363334,0.136344239,0.061718768,0.015033362,304.5,0.0039,0,0,0,0.0134,0,0.4881,0.0276,0.0139,0,0.01,0,0.006,0,0.0048
135000,45000,0.593773647,0.09875071,0.062890715,0.017844955,238.5,0.0199,0,0,0,0.05,0,0.8777,0.0298,0.0142,0,0,0,0.001,0,0
135000,55000,0.586290625,0.093067315,0.077570614,0.018352976,240.5,0.0055,0,0,0,0.0352,0,0.862,0.0919,0.0035,0.0026,0,0,0,0,0
135000,65000,0.565499901,0.101120306,0.080949672,0.018901866,233.7,0,0,0,0,0.0104,0,0.8933,0.0191,0.0408,0.0211,0,0,0,0.0154,0
135000,75000,0.563263951,0.11989234,0.079639758,0.015985181,248.7,0.0173,0,0,0.0051,0.0068,0,0.7604,0.0956,0.0226,0.0357,0,0.0089,0,0.0473,0
135000,85000,0.480668832,0.112759832,0.092446411,0.018389482,275.1,0,0,0,0,0,0,0.3492,0.1006,0.1791,0.189,0,0.1822,0,0,0
135000,95000,0.558932283,0.09830135,0.09766166,0.019001311,248.1,0,0,0,0,0.0236,0,0.8432,0.0559,0.0325,0.045,0,0,0,0,0
145000,105000,0.566567378,0.103774693,0.092883077,0.021895487,252.6,0,0,0.0042,0,0.1344,0,0.8399,0,0.0141,0.0075,0,0,0,0,0
145000,115000,0.584902133,0.091247129,0.086984584,0.024851404,250.5,0.0013,0,0,0,0.0443,0,0.8848,0.016,0.0332,0.0208,0,0,0,0,0
145000,125000,0.606629937,0.081275033,0.089604485,0.019037773,248.5,0.0032,0,0,0,0,0,0.9069,0.0328,0.0146,0.0423,0,0,0,0,0
145000,135000,0.609703138,0.094181759,0.093757169,0.019018438,246.3,0.0028,0,0,0,0.011,0,0.9308,0.0101,0.0292,0.0059,0,0.0102,0,0,0
145000,145000,0.597186188,0.092891402,0.088374137,0.022233707,246.5,0.0096,0,0,0.044,0.017,0,0.8849,0.0048,0.0402,0,0,0,0,0,0
145000,155000,0.558748631,0.142814428,0.096035021,0.021480188,296.2,0.0074,0,0,0,0,0,0.6523,0.0964,0.0229,0.0119,0,0.0138,0.0162,0.0053,0.0016
145000,165000,0.548775251,0.11100379,0.098091961,0.021401274,295,0.0434,0.0235,0.0065,0.0068,0,0,0.7288,0.0831,0.0391,7e-04,0,0.0124,0.0105,0.0185,0
145000,175000,0.558706053,0.104077776,0.10158612,0.021503779,297.2,0.0112,0,0,0,0,0,0.7642,0.0913,0.087,0.0058,0,0.0205,0,0.02,0
145000,185000,0.48566686,0.102314529,0.099117778,0.01931854,317.7,8e-04,0,0,0,0,0,0.366,0.2043,0.1214,0.2293,0,0.0761,0,0.0022,0
145000,195000,0.490081549,0.114141573,0.105837496,0.018132572,312.9,0,0,0.0012,0,0,0,0.4554,0.2484,0.0984,0.0917,0,0.0614,0,0.0436,0
